address,eligible_ousd_value_human,ousd_compensation_human,ogn_compensation_human,eligible_ousd_value,ousd_compensation,ogn_compensation
0x21fcEee5FEc20BEC769A8ea5B802bE5ED7AA467D,98.35,98.35,0.00,9.834875231918303e+19,9.834875231918303e+19,0
0x2233F1eF5E56da1f86bf1922441fD807154C7F04,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x226a2bc4F5DB04eDB05D6598D28c52F821d0Cffe,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x226b88B9cA0F069A16aDfdAC31Ab8243b1EF911c,"2,318.65","1,329.66","6,628.62",2.3186536494380813e+21,1329663412359520321536,6628620891947459548310
0x22cA0cE4Eae2C9A5Fd643781273A46ad09A8A9B7,93.93,93.93,0.00,9.3931774882795e+19,9.3931774882795e+19,0
0x22ee350346F93B9191af9a70cfFA8c5746BdfD14,2.15,2.15,0.00,2.1520269465327544e+18,2.1520269465327544e+18,0
0x2315418c9c091Cde80D9017780829075b151bfc1,30.87,30.87,0.00,3.0872590936525476e+19,3.0872590936525476e+19,0
0x23310E9504FDB07573064FB1B64708e59d7EC8C2,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x236Ff34518dBa76612BB571A7bAA6201D02Ea985,"1,320.62","1,080.15","1,611.67",1.320615396080927e+21,1080153849020231778304,1611672567430933880107
0x23946092B19E836888B3035AC8429f8Cd1c8eB33,2.31,2.31,0.00,2.312380577791843e+18,2.312380577791843e+18,0
0x239b68aE8fbC5c143Ea272e65E820Cc19046c7AD,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x239EeC9EC218f71cEf5CC14D88b142ed4fF44110,"46,010.82","12,252.70","226,260.81",4.601081620943642e+22,12252704052359105871872,226260805342341270882144
0x23B5B0F389201E6078687d498b94c2F83d71F7de,"2,048.01","1,262.00","5,268.13",2.0480059126590797e+21,1262001478164769931264,5268126236557036151420
0x2453Efc26de8a8Ec26Aa7Cf5727F32e9bf17FEE3,400.23,400.23,0.00,4.002327091682457e+20,4.002327091682457e+20,0
0x24c17278f49d4d728217143fC357f7a628ca2094,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x257A6F7b2491Dd9d4a6D59ab8d3FE7189f91a927,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x25AeB15F24C179B2931D330f87b721266c78b752,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x26fFFa0672085572dd4E7433e04967AD53442368,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x2707591af7bCAeAB165ee80C70D4cb01d50A17B1,50.01,50.01,0.00,5.001266348679373e+19,5.001266348679373e+19,0
0x271cf1541cab957def01Be751220A3c233C8Cf3d,"1,272.07","1,068.02","1,367.65",1.272072038923194e+21,1068018009730798518272,1367654351155466185093
0x278335190b79429081b09Fc57C6Bc29e73A741dA,"1,168.01","1,042.00",844.56,1.1680110852142072e+21,1042002771303551795200,844559744709486498659
0x27AaC65FB5b4AdadFA08e4d67E142bcC018aadcc,1.28,1.28,0.00,1.2814661912881395e+18,1.2814661912881395e+18,0
0x27bc2Af1669ee1F1e7c956BEcdcE8cB4bAB2d022,1.01,1.01,0.00,1.0081781216436292e+18,1.0081781216436292e+18,0
0x27cCaf1097C92B785Fc0536F55729bCD647605f5,"1,007.04","1,001.76",35.40,1.0070425764946457e+21,1001760644123661434880,35401691494532872922
0x27d6b2536E5583bf61c6460969d2f51732F9BbB9,"1,001.19","1,000.30",5.99,1.0011911649035235e+21,1000297791225880870912,5987759233529575978
0x281839ab6F0Fe4121BCD83a6641b00222813bC8D,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x28357Ed317505eb2EeC7181e5A7c9778EB060cC5,76.79,76.79,0.00,7.679473750839096e+19,7.679473750839096e+19,0
0x2853a2EdFE3883A20aB44F54A902f98f087B48B4,771.51,771.51,0.00,7.715091727843462e+20,7.715091727843462e+20,0
0x288DeF8225b9E150dc8789e5291CfC5c7E35Eb35,1.90,1.90,0.00,1.9032308131745836e+18,1.9032308131745836e+18,0
0x28C1497C044f8acc5Fb986ED0c4c669A09dB2d24,8.13,8.13,0.00,8.126813398258367e+18,8.126813398258367e+18,0
0x28D57336997B235F7544ed05dAd27B606ba3C983,"1,515.05","1,128.76","2,589.05",1.515048571166265e+21,1128762142791566229504,2589051128516747242037
0x28EA9447a92582262C64164A17Eb77924AdD58ee,43.85,43.85,0.00,4.3849e+19,4.3849e+19,0
0x297289405fAF325d416658E93D93d0ade229528C,"1,266.57","1,066.64","1,339.99",1.26656871148478e+21,1066642177871195013120,1339990171672821979624
0x29835eB74d743a40118B8D2ACB1564568F80BB18,"9,805.09","3,201.27","44,261.50",9.80508756679326e+21,3201271891698315165696,44261499162834755342412
0x29ba4353Eb38Ce6864c339e07070051C3A3757b2,1.01,1.01,0.00,1.0081781216436292e+18,1.0081781216436292e+18,0
0x29c988EF6A62c8e11F044915d73578F190684Eb6,446.32,446.32,0.00,4.463150369419722e+20,4.463150369419722e+20,0
0x2A0009E9a19bCfe2182d722c00AC760A77D0e51a,"7,032.34","2,508.09","30,323.44",7.032343670116171e+21,2508085917529042845696,30323443381951263653404
0x2a08fEcB8AC932cb7d3f6A3A0e434a4B9968DD56,507.71,507.71,0.00,5.0771007482968284e+20,5.0771007482968284e+20,0
0x2A729323449C8f0fBb56d46c9D1b522e38e0b08E,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x2Abe4A17664b2C7bCB6C41365471D315a308650D,493.73,493.73,0.00,4.9372914635537534e+20,4.9372914635537534e+20,0
0x2BD2ACd6750Da68027f557770E6DFEA744b3ABEA,"31,521.90","8,630.47","153,427.77",3.15218981410235e+22,8630474535255874732032,153427772156619465121286
0x2c80E16E5fc32790D26C47E34Ff8FEc0A6e9987e,436.14,436.14,0.00,4.361441882695147e+20,4.361441882695147e+20,0
0x2CBAE16f9237757BC18C89F04E80ba9ba36d2dfD,4.09,4.09,0.00,4.0874393666413307e+18,4.0874393666413307e+18,0
0x2Cd28139AbDc9E91F8Fe7C1b4A49fC41555A5607,"4,353.90","1,838.47","16,859.41",4.3538994558073496e+21,1838474863951837396992,16859414154527561601715
0x2d24C44C93D3c433428eaA9324a05ae2c3F5cC20,1.02,1.02,0.00,1.0202648404109623e+18,1.0202648404109623e+18,0
0x2E528757498349C549b86ae05A8Fb3eD5Bd07F06,19.45,19.45,0.00,1.9449743939436265e+19,1.9449743939436265e+19,0
0x2ed7aFA17473e17Ac59908F088b4371D28585476,50.54,50.54,0.00,5.0538318570449306e+19,5.0538318570449306e+19,0
0x302EC5fbbBc67e2bdb98041C9C467b97FdBE0809,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x308565D0DADB9a21C7Ba31962a437c720f62c191,50.54,50.54,0.00,5.054205494839298e+19,5.054205494839298e+19,0
0x30fD1d2dB70FBba0d7fA48f6633e28392811A9df,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x3186Adc6Db16a6201B26BeEBA75305461c30d594,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x318Be0816a133FdB7a7F4542E14426EC4271e90f,12.34,12.34,0.00,1.2338389470407186e+19,1.2338389470407186e+19,0
0x31968582690369bF278B4390122834E725Cbe7DD,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x31CC6fe584c5157D6cB68e5547c92D728f29D7Fa,543.87,543.87,0.00,5.438679583472749e+20,5.438679583472749e+20,0
0x31da7588767A008A150CCE5cE7Cc73a601eED3a7,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x3231f0Aedb5c1E52F0f3Bd3B677bF72E61866111,10.36,10.36,0.00,1.0355147957353818e+19,1.0355147957353818e+19,0
0x3309fF89D2fB9d413B5F9669DB973bF439563492,2.02,2.02,0.00,2.0164458241762847e+18,2.0164458241762847e+18,0
0x339CB6140579c1aeC7182000090ebAc7980F9201,5.23,5.23,0.00,5.231046881600943e+18,5.231046881600943e+18,0
0x33C953a04f5F5eAd78a412639729BfB6b7F5d1d1,504.29,504.29,0.00,5.0428801173408816e+20,5.0428801173408816e+20,0
0x33f0E20f104bC092AD43E1fcA864310C4c0189E4,"7,883.79","2,720.95","34,603.52",7.883793090318442e+21,2720948272579610411008,34603517545166429175764
0x33F38676406B8D58D5460d7CEaCaECe433f6Da42,30.50,30.50,0.00,3.049628096019793e+19,3.049628096019793e+19,0
0x34cf73aA6a1B5Fe8c6390a1671aBc3489931C656,493.20,493.20,0.00,4.931982864803558e+20,4.931982864803558e+20,0
0x34d50E818A53021Ca7E69ac898a690b1023D47eE,"1,022.36","1,005.59",112.41,1.0223623924726592e+21,1005590598118164791296,112411490311624489865
0x34D6508B607Af072858E64c65cEd6e7993225E32,"2,996.78","1,499.19","10,037.41",2.9967761316688634e+21,1499194032917215838208,10037413530507020875495
0x34Da8ad494CF29bFBBe325d3125afF16E2281b57,576.04,576.04,0.00,5.760354078218588e+20,5.760354078218588e+20,0
0x34F83AE818d326454C1833Cb837615386920762A,"4,230.77","1,807.69","16,240.48",4.2307732991960726e+21,1807693324799018139648,16240482402125029617587
0x352bDC63C766Ea44021479C484c868F031845548,103.28,103.28,0.00,1.0328238499332427e+20,1.0328238499332427e+20,0
0x353cC4D725CB72ff2702115B8A13e3ba25ce1793,"3,834.32","1,708.58","14,247.61",3.834323591927494e+21,1708580897981873520640,14247605187303086876139
0x35F677c93061805ec478a5aC1Fcd47597A86d1A3,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x3646fc44B6A40Ad194d22bA58e8c70Fb6A216929,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x366158b891147400FAF0010C6eA4151AD3bE0499,"5,526.24","2,131.56","22,752.55",5.526239752531362e+21,2131559938132840546304,22752545672912343424343
0x3688b712Bb6659d64740D55C5b000711E484C4BE,10.26,10.26,0.00,1.0262597643015854e+19,1.0262597643015854e+19,0
0x368fba4F18b3B026E0414BF09Daa66B68A7167A9,"1,049.82","1,012.46",250.44,1.0498215214503402e+21,1012455380362585047040,250443304877715423056
0x37167af40fe5A58eFDffC9A5695eAD8eA21bE9f4,25.37,25.37,0.00,2.5371099793263333e+19,2.5371099793263333e+19,0
0x3719Ee354bA978C3b6d923e593F184b33Bc6f8F8,11.23,11.23,0.00,1.1232045603831007e+19,1.1232045603831007e+19,0
0x37935675B3A85279ecDe97de942C92f6a6918E7a,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x385FFc2E815064f524Db9614A3e18cf8edA0D98D,196.79,196.79,0.00,1.967940489024789e+20,1.967940489024789e+20,0
0x387fB7a12A1E0b5BbC2a36dB6d739C4519307A2a,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x390C6a2157358890377066dA91804a3774CB2FcD,1.00,1.00,0.00,1.0026073952459361e+18,1.0026073952459361e+18,0
0x3973601A6989Ff4dDE768746c6d67593BbA0451C,"1,693.18","1,173.30","3,484.50",1.693182358154988e+21,1173295589538746990592,3484495768205368443538
0x3981EAB6787D24181d797d168dA05d390F9Ed1A2,209.27,209.27,0.00,2.0926708813804418e+20,2.0926708813804418e+20,0
0x3a3355805181ba5752cB52CEBE8C95c0F3ED3d61,175.38,175.38,0.00,1.7538379743540422e+20,1.7538379743540422e+20,0
0x3a4A050cd1a8be5f8E9d9420CE0abcCC1Ba9511e,47.84,47.84,0.00,4.783562730432364e+19,4.783562730432364e+19,0
0x3a8635D470414b1393a00F5c1ac42d945369394c,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x3a9E0Da873dbe52d7869e2fa76aeEd965ffc01DC,491.36,491.36,0.00,4.9135543035244184e+20,4.9135543035244184e+20,0
0x3aa0944947dE812bb40ab9C85627fcfEA10652c6,12.43,12.43,0.00,1.242937093394385e+19,1.242937093394385e+19,0
0x3AD072D2191E0deBec7d19aB755FFa222f57DaC4,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x3b22621A2B0e1F8Dd3056975eFc2150d5FBeE980,200.32,200.32,0.00,2.0032219410416278e+20,2.0032219410416278e+20,0
0x3BF7Bed09ecF44a51fe10c717E5411744590B2a7,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x3c1877DA6EA0480F8fDA66E4425aB065871B0eb5,783.48,783.48,0.00,7.834839317474182e+20,7.834839317474182e+20,0
0x3CaDcb27A57dC0373a3D304359b8068e377DB9fD,51.22,51.22,0.00,5.121520753015581e+19,5.121520753015581e+19,0
0x3cAfceed09E25951c33046699d07D7761eb3eD4F,1.00,1.00,0.00,9.982009873465993e+17,9.982009873465993e+17,0
0x3cE1f748D4A44A2DBA36f9aE507140df8E4Db954,1.02,1.02,0.00,1.0213831563474031e+18,1.0213831563474031e+18,0
0x3d238fBf1F1a0B104cf80eafA6F217643cb5aB73,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x3D51847413663696741ccC5081c1E9744B01c3E7,61.36,61.36,0.00,6.135815446170968e+19,6.135815446170968e+19,0
0x3D614677aAA130d32Ba1D2d41A9b4Ae66CB4Fb8e,304.19,304.19,0.00,3.0419024041386895e+20,3.0419024041386895e+20,0
0x3e32a27d472A5eA1E5F04435DAB74D5B3Ae12113,"48,068.47","12,767.12","236,604.24",4.806847096861937e+22,12767117742154842636288,236604244145204610649222
0x3e43F662aFb40AAB75F4EB7D2508117457ea42e1,1.01,1.01,0.00,1.0081781216436292e+18,1.0081781216436292e+18,0
